DepDates,tof,c3d,c3a,dvd,dva,dvt,theta
7304.5,10,134668.726483002,142717.593121242,366.972378365187,377.779820955596,744.752199320783,2.07605766936441
7304.5,17.2727272727273,43374.566640384,47522.2577409077,208.265615597928,217.996003956283,426.261619554211,2.13808270320824
7304.5,24.5454545454545,20649.9186565116,23245.7490958927,143.700795601526,152.465566918871,296.166362520397,2.20079612532522
7304.5,31.8181818181818,11795.3822556782,13577.6853912036,108.60654794108,116.523325524135,225.129873465215,2.26422718754782
7304.5,39.0909090909091,7479.46257268828,8772.57699401642,86.4838862025076,93.6620360339045,180.145922236412,2.32840339707931
7304.5,46.3636363636364,5072.06147779503,6045.22766422464,71.2184068748735,77.7510621420997,148.969469016973,2.39335012905714
7304.5,53.6363636363636,3603.54357859312,4354.88033167513,60.0295225584305,65.9915171190596,126.02103967749,2.45909014781896
7304.5,60.9090909090909,2649.36425157307,3240.03135600171,51.4719753999501,56.9212733167637,108.393248716714,2.52564298842202
7304.5,68.1818181818182,1999.8081199927,2470.05441708096,44.7192142148395,49.6996420216581,94.4188562364976,2.59302410017645
7304.5,75.4545454545455,1541.62872045258,1919.1017219864,39.2635800768674,43.8075532526801,83.0711333295475,2.66124353639182
7304.5,82.7272727272727,1209.39815195066,1513.75243303989,34.7764022283884,38.9069715223363,73.6833737507247,2.73030367048967
7304.5,90,963.361533296631,1208.92940907979,31.0380658755766,34.7696621939269,65.8077280695035,2.80019453344101
7304.5,97.2727272727273,778.684923990094,976.000797541855,27.9049265182708,31.2410114679703,59.1459379862412,2.87088234522901
7304.5,104.545454545455,640.720770347471,797.028332243245,25.3124627475769,28.2316902122995,53.5441529598764,2.94227386738799
7304.5,111.818181818182,548.473118995255,665.267139233562,23.4195029621735,25.7927730039552,49.2122759661288,3.01405993257675
7304.5,119.090909090909,609.120510772805,640.574991051816,24.6803669092014,25.3095829885009,49.9899498977024,3.08436381822067
7304.5,126.363636363636,1031.47704597529,805.914975538126,32.116616353148,28.388641664196,60.505258017344,3.17531722048838
7304.5,133.636363636364,374.831604173024,394.860750224513,19.3605682812521,19.8711033972579,39.2316716785099,3.2426890869133
7304.5,140.909090909091,284.465674794418,309.106198995362,16.8661102449384,17.5814162966287,34.4475265415672,3.31731971815152
7304.5,148.181818181818,235.750695055645,252.09756913468,15.3541751668934,15.8775807078623,31.2317558747556,3.39348903362562
7304.5,155.454545454545,200.860886319167,207.583248827765,14.1725398683217,14.4077496101148,28.5802894784365,3.47060074834227
7304.5,162.727272727273,173.817807386108,171.479749377185,13.1839981563298,13.0950276585116,26.2790258148415,3.54846209677434
7304.5,170,152.234818154343,141.809194156885,12.3383474644842,11.9083665612411,24.2467140257253,3.6269615618232
7304.5,177.272727272727,134.790597612331,117.299014060829,11.6099352975084,10.8304669364173,22.4404022339257,3.70600939726221
7304.5,184.545454545455,120.620101598864,97.0271776744239,10.9827183155567,9.85023744254035,20.832955758097,3.7855212994457
7304.5,191.818181818182,109.107043675666,80.2889615418937,10.4454317132259,8.96041079091208,19.405842504138,3.86541303684187
7304.5,199.090909090909,99.7931634384894,66.5310631540377,9.98965281871645,8.15665759695954,18.146310415676,3.94559870825879
7304.5,206.363636363636,92.3306739392996,55.3126453464866,9.60888515590126,7.43724716185274,17.046132317754,4.02599045613384
7304.5,213.636363636364,86.4540262880429,46.2797000835685,9.29806572831376,6.80291849749565,16.1009842258094,4.10649885471874
7304.5,220.909090909091,81.9617598003301,39.1471097767838,9.05327343010969,6.25676512079395,15.3100385509036,4.1870336432609
7304.5,228.181818181818,78.7043157091355,33.6856673047246,8.87154528304599,5.80393550142699,14.675480784473,4.26750463995217
7304.5,235.454545454545,76.5757533774955,29.7125415920739,8.750757303085,5.4509211691304,14.2016784722154,4.34782274018122
7304.5,242.727272727273,75.5082529396713,27.0842767988882,8.68954848882675,5.20425564311441,13.8938041319412,4.4279009335826
7304.5,250,75.468777439184,25.6917468638298,8.68727675622137,5.06870268055148,13.7559794367728,4.50765529082552
7304.5,257.272727272727,76.4575538314709,25.4566934288815,8.74400101964032,5.04546265756486,13.7894636772052,4.5870058818092
7304.5,264.545454545455,78.5082237138412,26.3296159097441,8.86048665220152,5.13123921774693,13.9917258699484,4.6658775954982
7304.5,271.818181818182,81.6896630190093,28.2888883061989,9.03823340144573,5.31872995236634,14.3569633538121,4.74420083941963
7304.5,279.090909090909,86.1096034508603,31.3410653092154,9.27952603589539,5.59830914734221,14.8778351832376,4.82191210425655
7304.5,286.363636363636,91.9203253664215,35.5224209809294,9.58750881962679,5.96006887384109,15.5475776934679,4.8989543859752
7304.5,293.636363636364,99.3268459035907,40.9018440178144,9.96628546167481,6.39545495002618,16.361740411701,4.97527746430511
7304.5,300.909090909091,108.598208860889,47.5852993141504,10.421046437901,6.89820986301159,17.3192563009126,5.05083804190331
7304.5,308.181818181818,120.082702805186,55.7221585314024,10.958225349261,7.46472762606931,18.4229529753303,5.12559975295483
7304.5,315.454545454545,134.228093358882,65.5138002566438,11.5856848463473,8.09405956591894,19.6797444122662,5.19953305312911
7304.5,322.727272727273,151.608241211358,77.2249711287923,12.3129298386435,8.78777395753852,21.100703796182,5.27261500460871
7304.5,330,172.957740188248,91.1984515048739,13.1513398628523,9.54978803455207,22.7011278974044,5.34482897023163
7304.5,337.272727272727,199.216325199723,107.87351266773,14.1144013404651,10.3862174379189,24.500618778384,5.41616422946283
7304.5,344.545454545455,231.58449190931,127.808343937987,15.2179003778218,11.3052352446991,26.5231356225209,5.48661552554831
