DepDates,tof,c3d,c3a,dvd,dva,dvt,theta
7304.5,10,191566.417105315,194181.767077199,437.6830098431,440.66060304638,878.34361288948,4.46921636103065
7304.5,17.2727272727273,61570.1043168548,63404.2305176025,248.133239040752,251.801966866032,499.935205906784,4.59850996489393
7304.5,24.5454545454545,28997.8599543883,30494.9448858746,170.28758015307,174.628018616357,344.915598769427,4.72766798004216
7304.5,31.8181818181818,16302.2082483247,17607.2313059695,127.680101223036,132.692242825153,260.372344048189,4.85662336090364
7304.5,39.0909090909091,10141.2756269625,11321.5614214311,100.703900753459,106.402826190995,207.106726944454,4.98531298907486
7304.5,46.3636363636364,6730.55695199565,7824.00842964859,82.0399716723235,88.4534252002069,170.49339687253,5.11367880797108
7304.5,53.6363636363636,4669.88231417296,5700.77422272101,68.3365371830689,75.5034715938347,143.840008776904,5.2416688048294
7304.5,60.9090909090909,3346.31461845443,4331.84485013629,57.8473389055575,65.8167520479117,123.664090953469,5.36923780666374
7304.5,68.1818181818182,2458.40430931973,3411.91843539377,49.5822983464838,58.4116292821367,107.993927628621,5.49634805252752
7304.5,75.4545454545455,1844.88577141708,2777.72944810668,42.952133490865,52.704169171961,95.656302662826,5.62296947794664
7304.5,82.7272727272727,1414.13696777723,2336.91676227101,37.6050125352622,48.3416669372397,85.9466794725019,5.74907954686241
7304.5,90,1112.11829770452,2035.73201026974,33.3484377101015,45.1190869839998,78.4675246941013,5.87466206808336
7304.5,97.2727272727273,906.663307021911,1843.25450910863,30.1108503204727,42.9331399865958,73.0439903070685,5.99970243711339
7304.5,104.545454545455,779.120110799211,1742.8771485415,27.9127230989599,41.7477801630398,69.6605032619997,6.12416071633776
7304.5,111.818181818182,718.839785779182,1726.10001390515,26.8111876980335,41.5463598153334,68.3575475133669,6.2473870243215
7304.5,119.090909090909,496.135384241179,1411.59936404257,22.2740967098821,37.5712571528099,59.845353862692,0.089259232994749
7304.5,126.363636363636,420.526113833816,1225.99725696468,20.5067333779375,35.0142436297671,55.5209770077046,0.212123853558186
7304.5,133.636363636364,357.712987532898,1063.84440909995,18.9133018675454,32.6166278008618,51.5299296684073,0.33474189886572
